Bin	ProteinID	Annotation
bin_59	FMHNMKLJ_01033	K00363
bin_59	FMHNMKLJ_01209	K00394
bin_59	FMHNMKLJ_01212	K00958
bin_59	FMHNMKLJ_01228	K11180
bin_59	FMHNMKLJ_01229	K11181
bin_59	FMHNMKLJ_01416	K08738
bin_59	FMHNMKLJ_01417	K08738
bin_59	FMHNMKLJ_01538	K00855
bin_59	FMHNMKLJ_02313	K08738
bin_6	KNAELNFE_00956	K00370
bin_6	KNAELNFE_00957	K00371
bin_60	JHGMDIMO_00851	K04561
bin_60	JHGMDIMO_01584	K00376
bin_61	FACLCNAF_00962	K00368
bin_62	MFPGMBLC_00817	K00370
bin_62	MFPGMBLC_00819	K00371
bin_62	MFPGMBLC_02515	K00362
bin_62	MFPGMBLC_02518	K00363
bin_62	MFPGMBLC_02519	K00362
bin_62	MFPGMBLC_02556	K17227
bin_62	MFPGMBLC_02557	K17226
bin_62	MFPGMBLC_03044	K16258
bin_62	MFPGMBLC_03045	K16257
bin_63	DMELABGG_00132	K00368
bin_63	DMELABGG_00426	K00855
bin_63	DMELABGG_00971	K00958
bin_63	DMELABGG_02311	K08738
bin_64	DBGALNLC_03946	K00399
bin_66	AAEFALFK_00192	K08738
bin_66	AAEFALFK_00246	K08929
bin_66	AAEFALFK_00247	K08928
bin_66	AAEFALFK_01089	K17223
bin_66	AAEFALFK_01090	K17227
bin_66	AAEFALFK_01091	K17222
bin_66	AAEFALFK_01448	K00855
bin_66	AAEFALFK_01453	K17225
bin_66	AAEFALFK_01454	K08738
bin_66	AAEFALFK_01455	K17226
bin_66	AAEFALFK_01499	K17224
bin_66	AAEFALFK_01500	K17223
bin_66	AAEFALFK_01501	K17222
bin_67	LALHDEAP_01216	K07218
bin_67	LALHDEAP_01219	K00376
bin_67	LALHDEAP_01390	K04561
bin_67	LALHDEAP_01645	K08738
bin_67	LALHDEAP_01746	K03385
bin_68	KGAMMEIJ_00087	K11180
bin_68	KGAMMEIJ_00088	K11181
bin_69	GEHFKKKP_00302	K08928
bin_69	GEHFKKKP_00303	K08929
bin_69	GEHFKKKP_00714	K17225
bin_69	GEHFKKKP_00715	K08738
bin_69	GEHFKKKP_00716	K17226
bin_69	GEHFKKKP_00717	K17227
bin_69	GEHFKKKP_00718	K17222
bin_69	GEHFKKKP_00719	K17223
bin_69	GEHFKKKP_00720	K17224
bin_69	GEHFKKKP_01629	K17225
bin_69	GEHFKKKP_01630	K08738
bin_7	GMLDCPBE_00600	K00371
bin_70	KAFNHEPC_00455	K00370
bin_70	KAFNHEPC_00456	K00371
bin_70	KAFNHEPC_00474	K17227
bin_70	KAFNHEPC_00475	K17226
bin_70	KAFNHEPC_00478	K17222
bin_70	KAFNHEPC_00998	K15864
bin_70	KAFNHEPC_00999	K08738
bin_70	KAFNHEPC_01819	K08738
bin_70	KAFNHEPC_01821	K17225
bin_70	KAFNHEPC_01822	K08738
bin_70	KAFNHEPC_01823	K17226
bin_71	MIPKBLKP_00314	K16257
bin_71	MIPKBLKP_00316	K16259
bin_71	MIPKBLKP_00713	K16255
bin_71	MIPKBLKP_00714	K16255
bin_71	MIPKBLKP_01092	K00855
bin_71	MIPKBLKP_01181	K00370
bin_71	MIPKBLKP_01270	K00370
bin_71	MIPKBLKP_01324	K00371
bin_72	GBFNFCJH_01849	K00376
bin_73	KCFDIMMH_00122	K00362
bin_73	KCFDIMMH_00123	K00363
bin_73	KCFDIMMH_00163	K07218
bin_73	KCFDIMMH_00174	K07218
bin_73	KCFDIMMH_00178	K00376
bin_73	KCFDIMMH_00191	K15864
bin_73	KCFDIMMH_00539	K17226
bin_73	KCFDIMMH_00540	K17227
bin_73	KCFDIMMH_00541	K17222
bin_73	KCFDIMMH_00542	K17223
bin_73	KCFDIMMH_00543	K17224
bin_73	KCFDIMMH_01177	K15864
bin_73	KCFDIMMH_01482	K08738
bin_73	KCFDIMMH_01985	K17226
bin_73	KCFDIMMH_02104	K11180
bin_73	KCFDIMMH_02105	K11181
bin_73	KCFDIMMH_02565	K00394
bin_73	KCFDIMMH_02825	K02568
bin_73	KCFDIMMH_02828	K02567
bin_73	KCFDIMMH_03348	K08738
bin_73	KCFDIMMH_03466	K00855
bin_74	FLOJHMEH_00031	K00394
bin_74	FLOJHMEH_01714	K00958
bin_74	FLOJHMEH_01978	K04561
bin_76	NHINCJFK_00324	K04561
bin_76	NHINCJFK_01708	K08738
bin_76	NHINCJFK_02157	K17222
bin_76	NHINCJFK_02804	K17223
bin_76	NHINCJFK_02805	K17226
bin_76	NHINCJFK_02806	K17227
bin_76	NHINCJFK_03212	K00371
bin_77	OMDGGNMK_00321	K08738
bin_77	OMDGGNMK_00747	K00376
bin_77	OMDGGNMK_00749	K07218
bin_77	OMDGGNMK_00834	K17223
bin_77	OMDGGNMK_00836	K17227
bin_77	OMDGGNMK_00837	K17222
bin_77	OMDGGNMK_01655	K17226
bin_77	OMDGGNMK_01656	K17227
bin_77	OMDGGNMK_01657	K17222
bin_77	OMDGGNMK_01658	K17223
bin_77	OMDGGNMK_01659	K17224
bin_77	OMDGGNMK_02816	K00371
bin_77	OMDGGNMK_02817	K00370
bin_78	HKPKJHMK_00727	K10946
bin_78	HKPKJHMK_00728	K10944
bin_78	HKPKJHMK_00729	K10945
bin_78	HKPKJHMK_01410	K02305
bin_78	HKPKJHMK_01411	K04561
bin_78	HKPKJHMK_01801	K00370
bin_78	HKPKJHMK_01803	K00371
bin_78	HKPKJHMK_01956	K00368
bin_79	MBNJBCFC_00609	K17225
bin_79	MBNJBCFC_00610	K08738
bin_79	MBNJBCFC_00611	K17226
bin_79	MBNJBCFC_00612	K17227
bin_79	MBNJBCFC_00691	K08928
bin_79	MBNJBCFC_00692	K08929
bin_79	MBNJBCFC_01750	K17224
bin_79	MBNJBCFC_01751	K17223
bin_79	MBNJBCFC_01752	K17222
bin_79	MBNJBCFC_01753	K17227
bin_79	MBNJBCFC_01754	K17226
bin_79	MBNJBCFC_01755	K08738
bin_79	MBNJBCFC_01756	K17225
bin_79	MBNJBCFC_02278	K08738
bin_8	CAGJJKJH_00020	K08929
bin_8	CAGJJKJH_00021	K08928
bin_8	CAGJJKJH_00177	K17223
bin_8	CAGJJKJH_00178	K17222
bin_8	CAGJJKJH_00179	K17227
bin_8	CAGJJKJH_00180	K17226
bin_8	CAGJJKJH_00181	K08738
bin_8	CAGJJKJH_00182	K17225
bin_80	JNHINHHK_02256	K00368
bin_80	JNHINHHK_02322	K08738
bin_81	ONHIDHNN_01666	K02305
bin_81	ONHIDHNN_01925	K07218
bin_81	ONHIDHNN_01928	K00376
bin_83	LPPJPNOD_00121	K08929
bin_83	LPPJPNOD_00122	K08928
bin_83	LPPJPNOD_00207	K08738
bin_83	LPPJPNOD_00388	K17224
bin_83	LPPJPNOD_00947	K17222
bin_83	LPPJPNOD_00948	K17227
bin_83	LPPJPNOD_00950	K17223
bin_83	LPPJPNOD_01281	K00855
bin_83	LPPJPNOD_01288	K17225
bin_83	LPPJPNOD_01633	K08738
bin_83	LPPJPNOD_01634	K17226
bin_83	LPPJPNOD_01635	K17227
bin_83	LPPJPNOD_01636	K17222
bin_83	LPPJPNOD_01637	K17223
bin_83	LPPJPNOD_01772	K17227
bin_85	KFMCADBG_00462	K08738
bin_85	KFMCADBG_00463	K17225
bin_85	KFMCADBG_01461	K00371
bin_85	KFMCADBG_01656	K17223
bin_85	KFMCADBG_01657	K17226
bin_85	KFMCADBG_01658	K17227
bin_85	KFMCADBG_02434	K17227
bin_85	KFMCADBG_02435	K17226
bin_85	KFMCADBG_02436	K08738
bin_85	KFMCADBG_03107	K00370
bin_85	KFMCADBG_03824	K17222
bin_85	KFMCADBG_03887	K17222
bin_86	JIFAIENN_01112	K08738
unbinned	IJDLJFPM_07302	K17225
unbinned	IJDLJFPM_07303	K08738
unbinned	IJDLJFPM_07304	K17226
unbinned	IJDLJFPM_07305	K17227
unbinned	IJDLJFPM_07306	K17222
unbinned	IJDLJFPM_07307	K17223
unbinned	IJDLJFPM_07308	K17224
unbinned	IJDLJFPM_10844	K17227
unbinned	IJDLJFPM_10845	K17222
unbinned	IJDLJFPM_11507	K07218
unbinned	IJDLJFPM_15403	K17225
unbinned	IJDLJFPM_16442	K00376
unbinned	IJDLJFPM_18164	K02568
unbinned	IJDLJFPM_18513	K00370
unbinned	IJDLJFPM_19071	K17226
unbinned	IJDLJFPM_19072	K17227
unbinned	IJDLJFPM_19655	K17223
unbinned	IJDLJFPM_19656	K17222
unbinned	IJDLJFPM_26237	K00376
unbinned	IJDLJFPM_28349	K08928
unbinned	IJDLJFPM_30341	K17227
unbinned	IJDLJFPM_30342	K17226
unbinned	IJDLJFPM_32603	K08738
unbinned	IJDLJFPM_41018	K00370
unbinned	IJDLJFPM_41019	K00371
unbinned	IJDLJFPM_43047	K16259
unbinned	IJDLJFPM_43048	K16258
unbinned	IJDLJFPM_43617	K08738
unbinned	IJDLJFPM_46429	K00376
unbinned	IJDLJFPM_46975	K08738
unbinned	IJDLJFPM_47386	K00958
unbinned	IJDLJFPM_48562	K17225
unbinned	IJDLJFPM_50999	K17225
unbinned	IJDLJFPM_51552	K00371
unbinned	IJDLJFPM_51665	K08738
unbinned	IJDLJFPM_51808	K08738
unbinned	IJDLJFPM_53455	K00370
unbinned	IJDLJFPM_55064	K11180
unbinned	IJDLJFPM_59535	K08929
unbinned	IJDLJFPM_60682	K08738
unbinned	IJDLJFPM_61662	K00394
unbinned	IJDLJFPM_61830	K17222
unbinned	IJDLJFPM_61831	K17227
unbinned	IJDLJFPM_61832	K17226
unbinned	IJDLJFPM_61833	K17223
unbinned	IJDLJFPM_63503	K00363
unbinned	IJDLJFPM_63504	K00362
unbinned	IJDLJFPM_63939	K08929
unbinned	IJDLJFPM_63940	K08928
unbinned	IJDLJFPM_64047	K17226
unbinned	IJDLJFPM_66384	K00376
unbinned	IJDLJFPM_69470	K08928
unbinned	IJDLJFPM_69558	K17226
unbinned	IJDLJFPM_69559	K17227
unbinned	IJDLJFPM_71165	K08738
unbinned	IJDLJFPM_72918	K08738
unbinned	IJDLJFPM_76373	K00370
unbinned	IJDLJFPM_80658	K00958
unbinned	IJDLJFPM_81544	K02567
unbinned	IJDLJFPM_82079	K03422
unbinned	IJDLJFPM_82094	K17227
unbinned	IJDLJFPM_82095	K17222
unbinned	IJDLJFPM_82541	K08738
unbinned	IJDLJFPM_83194	K00371
unbinned	IJDLJFPM_86889	K00370
unbinned	IJDLJFPM_91105	K17226
unbinned	IJDLJFPM_91106	K17227
unbinned	IJDLJFPM_92037	K08738
unbinned	IJDLJFPM_92807	K08738
unbinned	IJDLJFPM_93044	K00368
unbinned	IJDLJFPM_93820	K08928
unbinned	IJDLJFPM_93821	K08929
unbinned	IJDLJFPM_94740	K00855
unbinned	IJDLJFPM_94925	K17223
unbinned	IJDLJFPM_97124	K17222
unbinned	IJDLJFPM_97211	K08738
unbinned	IJDLJFPM_98825	K17227
unbinned	IJDLJFPM_98826	K17222
unbinned	IJDLJFPM_98827	K17223
unbinned	IJDLJFPM_98828	K17224
unbinned	IJDLJFPM_99184	K10944
unbinned	IJDLJFPM_101837	K04561
unbinned	IJDLJFPM_106861	K03422
unbinned	IJDLJFPM_106973	K08738
unbinned	IJDLJFPM_106976	K08929
unbinned	IJDLJFPM_107807	K08738
unbinned	IJDLJFPM_109273	K00401
unbinned	IJDLJFPM_109485	K07218
unbinned	IJDLJFPM_110705	K08738
unbinned	IJDLJFPM_112289	K00371
unbinned	IJDLJFPM_114684	K00368
unbinned	IJDLJFPM_115313	K00370
unbinned	IJDLJFPM_116326	K08929
unbinned	IJDLJFPM_118425	K02568
unbinned	IJDLJFPM_118428	K02567
unbinned	IJDLJFPM_119086	K00370
unbinned	IJDLJFPM_119087	K00371
unbinned	IJDLJFPM_119716	K00368
unbinned	IJDLJFPM_120808	K00376
unbinned	IJDLJFPM_120876	K00400
unbinned	IJDLJFPM_122417	K08738
unbinned	IJDLJFPM_124674	K08928
unbinned	IJDLJFPM_128046	K00362
unbinned	IJDLJFPM_128047	K00363
unbinned	IJDLJFPM_129565	K00376
unbinned	IJDLJFPM_130972	K00371
unbinned	IJDLJFPM_131535	K08738
unbinned	IJDLJFPM_132480	K00370
unbinned	IJDLJFPM_133447	K17227
unbinned	IJDLJFPM_133448	K17222
unbinned	IJDLJFPM_133804	K17224
unbinned	IJDLJFPM_134739	K07218
unbinned	IJDLJFPM_136831	K00368
unbinned	IJDLJFPM_137426	K08738
unbinned	IJDLJFPM_137436	K17225
unbinned	IJDLJFPM_137437	K17225
unbinned	IJDLJFPM_137440	K17224
unbinned	IJDLJFPM_137486	K07218
unbinned	IJDLJFPM_138772	K00400
unbinned	IJDLJFPM_139931	K07218
unbinned	IJDLJFPM_141394	K08928
unbinned	IJDLJFPM_141395	K08929
unbinned	IJDLJFPM_142012	K17226
unbinned	IJDLJFPM_142013	K17227
unbinned	IJDLJFPM_142014	K17222
unbinned	IJDLJFPM_142015	K17223
unbinned	IJDLJFPM_142016	K17224
unbinned	IJDLJFPM_145004	K08738
unbinned	IJDLJFPM_148016	K08738
unbinned	IJDLJFPM_150098	K00370
unbinned	IJDLJFPM_150178	K00370
unbinned	IJDLJFPM_150519	K08929
unbinned	IJDLJFPM_151467	K08738
unbinned	IJDLJFPM_153291	K17224
unbinned	IJDLJFPM_153846	K08738
unbinned	IJDLJFPM_153887	K17223
unbinned	IJDLJFPM_153889	K17227
unbinned	IJDLJFPM_153890	K17222
unbinned	IJDLJFPM_155468	K00371
unbinned	IJDLJFPM_162163	K07218
unbinned	IJDLJFPM_162969	K00855
unbinned	IJDLJFPM_167004	K17226
unbinned	IJDLJFPM_167548	K00362
unbinned	IJDLJFPM_169100	K00399
unbinned	IJDLJFPM_169464	K08738
unbinned	IJDLJFPM_170445	K00362
unbinned	IJDLJFPM_170446	K00363
unbinned	IJDLJFPM_170532	K00368
unbinned	IJDLJFPM_173923	K08929
unbinned	IJDLJFPM_174707	K17224
unbinned	IJDLJFPM_176408	K00958
unbinned	IJDLJFPM_176785	K08738
unbinned	IJDLJFPM_176786	K17226
unbinned	IJDLJFPM_179453	K04561
unbinned	IJDLJFPM_180184	K02568
unbinned	IJDLJFPM_182250	K15864
unbinned	IJDLJFPM_186636	K00368
unbinned	IJDLJFPM_187667	K00958
unbinned	IJDLJFPM_189727	K15864
unbinned	IJDLJFPM_190692	K04561
unbinned	IJDLJFPM_192289	K08738
unbinned	IJDLJFPM_196776	K17223
unbinned	IJDLJFPM_196862	K11181
unbinned	IJDLJFPM_200103	K17225
unbinned	IJDLJFPM_200104	K08738
unbinned	IJDLJFPM_200202	K17225
unbinned	IJDLJFPM_200428	K17223
unbinned	IJDLJFPM_201860	K10945
unbinned	IJDLJFPM_201941	K08929
unbinned	IJDLJFPM_203104	K17222
unbinned	IJDLJFPM_207979	K07218
unbinned	IJDLJFPM_208449	K10944
unbinned	IJDLJFPM_210392	K08738
unbinned	IJDLJFPM_212255	K04561--nitric_oxide_reductase_norB
unbinned	IJDLJFPM_212707	K08738
unbinned	IJDLJFPM_215663	K08738
unbinned	IJDLJFPM_218361	K00362
unbinned	IJDLJFPM_218362	K00363
unbinned	IJDLJFPM_222883	K17223
unbinned	IJDLJFPM_223591	K00371
unbinned	IJDLJFPM_224744	K00376
unbinned	IJDLJFPM_225244	K17226
unbinned	IJDLJFPM_225245	K17227
unbinned	IJDLJFPM_225558	K04561
unbinned	IJDLJFPM_226463	K00855
unbinned	IJDLJFPM_227464	K00362
unbinned	IJDLJFPM_227465	K00363
unbinned	IJDLJFPM_230194	K08928
unbinned	IJDLJFPM_230933	K00958
unbinned	IJDLJFPM_231668	K00855
unbinned	IJDLJFPM_231672	K17226
unbinned	IJDLJFPM_233930	K17224
unbinned	IJDLJFPM_234900	K03422
unbinned	IJDLJFPM_234931	K08738
unbinned	IJDLJFPM_234943	K08738
unbinned	IJDLJFPM_234944	K15864
unbinned	IJDLJFPM_235076	K17222
unbinned	IJDLJFPM_235216	K17227
unbinned	IJDLJFPM_235362	K00370
unbinned	IJDLJFPM_237592	K04561
unbinned	IJDLJFPM_238979	K08928
unbinned	IJDLJFPM_241345	K08738
unbinned	IJDLJFPM_242397	K00362
unbinned	IJDLJFPM_243477	K08738
unbinned	IJDLJFPM_243549	K00370
unbinned	IJDLJFPM_250083	K17225
unbinned	IJDLJFPM_250084	K08738
unbinned	IJDLJFPM_250085	K17226
unbinned	IJDLJFPM_250086	K17227
unbinned	IJDLJFPM_250087	K17222
unbinned	IJDLJFPM_252160	K08738
unbinned	IJDLJFPM_254394	K08738
unbinned	IJDLJFPM_258546	K15864
unbinned	IJDLJFPM_259468	K17227
unbinned	IJDLJFPM_259469	K17226
unbinned	IJDLJFPM_259952	K17223
unbinned	IJDLJFPM_262766	K00362
unbinned	IJDLJFPM_262960	K08738
unbinned	IJDLJFPM_263105	K10946
unbinned	IJDLJFPM_264828	K00371
unbinned	IJDLJFPM_266908	K02305
unbinned	IJDLJFPM_268638	K17224
unbinned	IJDLJFPM_268639	K17223
unbinned	IJDLJFPM_268640	K17222
unbinned	IJDLJFPM_270665	K08738
unbinned	IJDLJFPM_271151	K02567
unbinned	IJDLJFPM_274325	K16255
unbinned	IJDLJFPM_276020	K08738
unbinned	IJDLJFPM_279473	K00371
unbinned	IJDLJFPM_280951	K08738
unbinned	IJDLJFPM_281099	K08738
unbinned	IJDLJFPM_281125	K07218
unbinned	IJDLJFPM_282496	K04561
unbinned	IJDLJFPM_283336	K17223
unbinned	IJDLJFPM_283337	K17224
unbinned	IJDLJFPM_286356	K10535
unbinned	IJDLJFPM_286993	K08929
unbinned	IJDLJFPM_286994	K08928
unbinned	IJDLJFPM_287946	K00376
unbinned	IJDLJFPM_289635	K08928
unbinned	IJDLJFPM_289636	K08929
unbinned	IJDLJFPM_290384	K00368
unbinned	IJDLJFPM_290857	K17226
unbinned	IJDLJFPM_290858	K08738
unbinned	IJDLJFPM_290859	K17225
unbinned	IJDLJFPM_290884	K07218
unbinned	IJDLJFPM_293062	K17227
unbinned	IJDLJFPM_293064	K17223
unbinned	IJDLJFPM_296250	K16257
unbinned	IJDLJFPM_299193	K00855
unbinned	IJDLJFPM_300837	K08738
unbinned	IJDLJFPM_300894	K07218
unbinned	IJDLJFPM_303336	K00400
unbinned	IJDLJFPM_303698	K16257
unbinned	IJDLJFPM_303871	K17222
unbinned	IJDLJFPM_303872	K17227
unbinned	IJDLJFPM_303873	K17226
unbinned	IJDLJFPM_303874	K17223
unbinned	IJDLJFPM_305518	K00368
unbinned	IJDLJFPM_308802	K00371
unbinned	IJDLJFPM_309610	K00370
unbinned	IJDLJFPM_309611	K00370
unbinned	IJDLJFPM_309612	K00371
unbinned	IJDLJFPM_310141	K15864
unbinned	IJDLJFPM_310142	K08738
unbinned	IJDLJFPM_311958	K00855
unbinned	IJDLJFPM_315667	K15864
unbinned	IJDLJFPM_315860	K00371
unbinned	IJDLJFPM_316566	K17226
